venue,event_category,event_name,z_dow,date
Ciudad Deportiva,music_festival,Spring Music Festival,3.4687016382944664,2019-03-24
Ciudad Deportiva,music_festival,Spring Music Festival,6.8304176792019655,2019-03-25
Ciudad Deportiva,music_festival,Spring Music Festival,12.782687780403217,2019-04-04
Ciudad Deportiva,music_festival,Spring Music Festival,3.4359440682085696,2019-04-10
Ciudad Deportiva,music_festival,Spring Music Festival,4.486638663428408,2019-04-12
Ciudad Deportiva,music_festival,Spring Music Festival,2.817586228536609,2019-04-30
Ciudad Deportiva,concert,Concert/Event,4.09154106953322,2019-05-05
Ciudad Deportiva,concert,Concert/Event,7.034910905994029,2019-05-12
Ciudad Deportiva,concert,Concert/Event,3.9461070679012766,2019-06-05
Ciudad Deportiva,concert,Concert/Event,3.0831350752606816,2019-07-05
Ciudad Deportiva,concert,Concert/Event,2.760535168389885,2019-07-09
Ciudad Deportiva,concert,Concert/Event,3.3181632724046417,2019-08-06
Ciudad Deportiva,concert,Concert/Event,2.823689929568249,2019-08-11
Ciudad Deportiva,concert,Concert/Event,2.595367746373652,2019-08-23
Ciudad Deportiva,concert,Concert/Event,3.0623536801338456,2019-09-10
Ciudad Deportiva,motorsport,F1 Mexico GP,5.910075051093921,2019-10-25
Ciudad Deportiva,motorsport,F1 Mexico GP,4.927413087630008,2019-10-26
Ciudad Deportiva,motorsport,F1 Mexico GP,5.556927045295595,2019-10-27
Ciudad Deportiva,concert,Concert/Event,4.30762813942583,2019-11-13
Ciudad Deportiva,concert,Concert/Event,6.477770573539559,2019-11-14
Ciudad Deportiva,concert,Concert/Event,4.974832430661683,2022-02-12
Ciudad Deportiva,concert,Concert/Event,2.531153495240126,2022-02-24
Ciudad Deportiva,concert,Concert/Event,2.825181199406964,2022-02-25
Ciudad Deportiva,music_festival,Spring Music Festival,2.777137132432755,2022-03-03
Ciudad Deportiva,music_festival,Spring Music Festival,3.460099489292364,2022-03-04
Ciudad Deportiva,music_festival,Vive Latino,2.7184820962129264,2022-03-18
Ciudad Deportiva,music_festival,Spring Music Festival,3.145236112022863,2022-03-26
Ciudad Deportiva,music_festival,Spring Music Festival,3.3180593812961536,2022-03-31
Ciudad Deportiva,music_festival,Spring Music Festival,2.586080684438699,2022-04-04
Ciudad Deportiva,music_festival,Spring Music Festival,3.855547451851206,2022-04-05
Ciudad Deportiva,music_festival,Spring Music Festival,2.524671945770645,2022-04-06
Ciudad Deportiva,music_festival,Spring Music Festival,2.7710933084231084,2022-04-07
Ciudad Deportiva,music_festival,Spring Music Festival,6.42070647352253,2022-04-08
Ciudad Deportiva,concert,Concert/Event,2.7046313830202102,2022-05-21
Ciudad Deportiva,concert,Concert/Event,3.8818698527130295,2022-05-25
Ciudad Deportiva,concert,Concert/Event,7.96213375030884,2022-05-26
Ciudad Deportiva,concert,Concert/Event,9.20250452108137,2022-05-27
Ciudad Deportiva,concert,Concert/Event,5.365301356943947,2022-09-21
Ciudad Deportiva,concert,Concert/Event,2.624117290164344,2022-10-01
Ciudad Deportiva,concert,Concert/Event,4.4291643858196,2022-10-02
Ciudad Deportiva,concert,Concert/Event,5.703602547848886,2022-10-03
Ciudad Deportiva,concert,Concert/Event,3.698196947252983,2022-10-04
Ciudad Deportiva,concert,Concert/Event,5.0329111155629,2022-10-05
Ciudad Deportiva,motorsport,F1 Mexico GP,4.199958105945527,2022-10-28
Ciudad Deportiva,motorsport,F1 Mexico GP,9.002018927924723,2022-10-29
Ciudad Deportiva,motorsport,F1 Mexico GP,5.924785285428516,2022-10-30
Ciudad Deportiva,music_festival,Corona Capital,2.5858418619754566,2022-11-20
Ciudad Deportiva,concert,Concert/Event,2.9584518527221624,2022-11-24
Ciudad Deportiva,concert,Concert/Event,7.883422201374859,2022-11-25
Ciudad Deportiva,concert,Concert/Event,4.767372804898102,2022-11-26
Ciudad Deportiva,concert,Concert/Event,3.169284930741078,2022-11-30
Ciudad Deportiva,concert,Concert/Event,2.779849289990764,2022-12-04
Ciudad Deportiva,concert,Concert/Event,2.7883433057875195,2022-12-07
Ciudad Deportiva,concert,Concert/Event,5.406315151491904,2023-01-23
Ciudad Deportiva,concert,Concert/Event,5.35911894023423,2023-01-24
Ciudad Deportiva,concert,Concert/Event,2.686624941463928,2023-02-26
Ciudad Deportiva,music_festival,Vive Latino,3.337877193089046,2023-03-18
Ciudad Deportiva,music_festival,Vive Latino,3.010138626621921,2023-03-19
Ciudad Deportiva,music_festival,Spring Music Festival,4.256324389777661,2023-03-20
Ciudad Deportiva,music_festival,Spring Music Festival,3.2867881798177754,2023-03-26
Ciudad Deportiva,music_festival,Spring Music Festival,5.510208563298829,2023-03-29
Ciudad Deportiva,music_festival,Spring Music Festival,5.033901017634912,2023-03-30
Ciudad Deportiva,music_festival,Spring Music Festival,11.002905322778563,2023-03-31
Ciudad Deportiva,music_festival,Spring Music Festival,8.066252172300944,2023-04-26
Ciudad Deportiva,music_festival,Spring Music Festival,8.281247658018197,2023-04-27
Ciudad Deportiva,concert,Concert/Event,3.303726065967114,2023-05-08
Ciudad Deportiva,concert,Concert/Event,3.22061346053398,2023-08-07
Ciudad Deportiva,concert,Concert/Event,4.359805209277091,2023-08-15
Ciudad Deportiva,concert,Concert/Event,7.730874153469281,2023-08-16
Ciudad Deportiva,concert,Concert/Event,4.412595909443209,2023-08-17
Ciudad Deportiva,concert,Concert/Event,2.854498079756236,2023-08-24
Ciudad Deportiva,concert,Concert/Event,7.926805353222985,2023-08-25
Ciudad Deportiva,concert,Concert/Event,7.423843917651767,2023-08-26
Ciudad Deportiva,concert,Concert/Event,7.990334499544739,2023-08-27
Ciudad Deportiva,concert,Concert/Event,10.130947106498574,2023-08-28
Ciudad Deportiva,concert,Concert/Event,3.5831746485700706,2023-09-05
Ciudad Deportiva,concert,Concert/Event,2.940719955768943,2023-09-06
Ciudad Deportiva,concert,Concert/Event,3.680130269419101,2023-09-11
Ciudad Deportiva,concert,Concert/Event,3.209425225187211,2023-09-25
Ciudad Deportiva,concert,Concert/Event,4.801455457702119,2023-09-30
Ciudad Deportiva,concert,Concert/Event,2.742055635182587,2023-10-01
Ciudad Deportiva,concert,Concert/Event,2.840423928434684,2023-10-06
Ciudad Deportiva,concert,Concert/Event,5.423340383502949,2023-10-07
Ciudad Deportiva,concert,Concert/Event,3.066206608694821,2023-10-18
Ciudad Deportiva,concert,Concert/Event,3.483748507418428,2023-10-25
Ciudad Deportiva,concert,Concert/Event,2.6568650346407816,2023-10-26
Ciudad Deportiva,motorsport,F1 Mexico GP,5.035376908426316,2023-10-27
Ciudad Deportiva,motorsport,F1 Mexico GP,15.027239201887014,2023-10-28
Ciudad Deportiva,motorsport,F1 Mexico GP,4.076423607609949,2023-10-29
Ciudad Deportiva,concert,Concert/Event,2.5796874070976887,2023-11-06
Ciudad Deportiva,concert,Concert/Event,3.14326030606321,2023-12-02
Ciudad Deportiva,concert,Concert/Event,3.365902897216225,2023-12-03
Ciudad Deportiva,concert,Concert/Event,4.6646949799347,2023-12-04
Ciudad Deportiva,concert,Concert/Event,3.9685153987808977,2023-12-06
Ciudad Deportiva,concert,Concert/Event,3.066073235738023,2024-10-06
Ciudad Deportiva,motorsport,F1 Mexico GP,5.898349874918752,2024-10-25
Ciudad Deportiva,motorsport,F1 Mexico GP,4.882463502047898,2024-10-26
Ciudad Deportiva,motorsport,F1 Mexico GP,5.7201956340669184,2024-10-27
Ciudad Deportiva,concert,Concert/Event,4.015572893628102,2024-11-20
Ciudad Deportiva,concert,Concert/Event,3.260584579150773,2024-12-01
Ciudad Deportiva,concert,Concert/Event,4.97582033364151,2024-12-14
Ciudad Deportiva,concert,Concert/Event,5.721707380259246,2024-12-15
Ciudad Deportiva,concert,Concert/Event,3.399621129328207,2025-01-11
Ciudad Deportiva,concert,Concert/Event,3.460089245522856,2025-02-20
Ciudad Deportiva,music_festival,Spring Music Festival,5.35110941405352,2025-04-02
Ciudad Deportiva,music_festival,Spring Music Festival,4.587866805722969,2025-04-03
Ciudad Deportiva,music_festival,Spring Music Festival,7.2020596986807,2025-04-12
Ciudad Deportiva,music_festival,Spring Music Festival,6.588945779257543,2025-04-13
Ciudad Deportiva,music_festival,Spring Music Festival,2.9555587398961607,2025-04-26
Ciudad Deportiva,music_festival,Spring Music Festival,3.027271750134961,2025-04-27
Ciudad Deportiva,concert,Concert/Event,4.336947868087648,2025-09-07
Ciudad Deportiva,concert,Concert/Event,3.368643115126046,2025-09-12
Ciudad Deportiva,concert,Concert/Event,3.391223953999681,2025-09-13
Ciudad Deportiva,concert,Concert/Event,5.388564648697056,2025-09-23
Ciudad Deportiva,concert,Concert/Event,2.959243171480243,2025-09-28
Ciudad Deportiva,motorsport,F1 Mexico GP,7.134183443781562,2025-10-24
Ciudad Deportiva,motorsport,F1 Mexico GP,5.896051959349966,2025-10-25
Ciudad Deportiva,motorsport,F1 Mexico GP,6.564253924782867,2025-10-26
Ciudad Deportiva,concert,Concert/Event,3.701237823507768,2025-11-06
Ciudad Deportiva,music_festival,Corona Capital,3.2751453538700583,2025-11-15
Ciudad Deportiva,concert,Concert/Event,4.66229750093182,2025-12-01
Ciudad Deportiva,concert,Concert/Event,4.683708002368172,2025-12-02
Ciudad Deportiva,concert,Concert/Event,2.636405862986744,2025-12-05
Ciudad Deportiva,concert,Concert/Event,21.990423151393824,2025-12-09
Ciudad Deportiva,concert,Concert/Event,10.124689627258409,2025-12-12
Ciudad Deportiva,concert,Concert/Event,12.798530079398256,2025-12-13
Ciudad Deportiva,concert,Concert/Event,10.939247405377412,2025-12-14
Ciudad Deportiva,concert,Concert/Event,3.8207823709213287,2025-12-15
Ciudad Deportiva,concert,Concert/Event,5.354518048286914,2025-12-16
Ciudad Deportiva,concert,Concert/Event,3.0527616101670487,2025-12-17
Ciudad Deportiva,concert,Concert/Event,2.9312940437922435,2025-12-19
Ciudad Deportiva,concert,Concert/Event,3.8071311085066695,2025-12-20
Ciudad Deportiva,concert,Concert/Event,5.197131451521752,2025-12-21
Pumas/CU,soccer_domestic,Liga MX (Pumas UNAM),2.8772203169120454,2016-10-09
Pumas/CU,soccer_domestic,Liga MX (Pumas UNAM),2.810754134808821,2016-10-23
Pumas/CU,soccer_domestic,Liga MX (Pumas UNAM),3.149852511139088,2017-10-01
Pumas/CU,soccer_domestic,Liga MX (Pumas UNAM),2.584607985519428,2017-11-26
Pumas/CU,soccer_domestic,Liga MX (Pumas UNAM),3.448265527515259,2019-01-06
Pumas/CU,soccer_domestic,Liga MX (Pumas UNAM),3.921827004367078,2019-02-03
Pumas/CU,soccer_domestic,Liga MX (Pumas UNAM),2.500119372501707,2019-02-09
Pumas/CU,soccer_domestic,Liga MX (Pumas UNAM),7.115104087813605,2019-02-10
Pumas/CU,soccer_domestic,Liga MX (Pumas UNAM),3.648286962053481,2019-03-09
Pumas/CU,soccer_domestic,Liga MX (Pumas UNAM),8.760565061481783,2019-03-10
Pumas/CU,soccer_domestic,Liga MX (Pumas UNAM),4.5607080032501885,2019-04-07
Pumas/CU,soccer_domestic,Liga MX (Pumas UNAM),2.906563875623583,2019-05-04
Pumas/CU,soccer_domestic,Liga MX (Pumas UNAM),3.708254183825561,2019-05-11
Pumas/CU,soccer_domestic,Liga MX (Pumas UNAM),7.671405890750286,2019-05-12
Pumas/CU,soccer_domestic,Liga MX (Pumas UNAM),8.195320535862123,2019-06-02
Pumas/CU,soccer_domestic,Liga MX (Pumas UNAM),3.608429230313404,2019-06-08
Pumas/CU,soccer_domestic,Liga MX (Pumas UNAM),10.520670128644367,2019-06-09
Pumas/CU,soccer_domestic,Liga MX (Pumas UNAM),2.7234109753919893,2019-08-03
Pumas/CU,soccer_domestic,Liga MX (Pumas UNAM),7.9520140268297155,2019-08-04
Pumas/CU,soccer_domestic,Liga MX (Pumas UNAM),3.115887209988642,2019-08-10
Pumas/CU,soccer_domestic,Liga MX (Pumas UNAM),9.669983562792318,2019-08-11
Pumas/CU,soccer_domestic,Liga MX (Pumas UNAM),6.3684270263194485,2019-09-01
Pumas/CU,soccer_domestic,Liga MX (Pumas UNAM),9.125766520238042,2019-09-08
Pumas/CU,soccer_domestic,Liga MX (Pumas UNAM),6.274568720682774,2019-10-06
Pumas/CU,soccer_domestic,Liga MX (Pumas UNAM),3.153978838811737,2019-11-02
Pumas/CU,soccer_domestic,Liga MX (Pumas UNAM),7.252145270550071,2019-11-03
Pumas/CU,soccer_domestic,Liga MX (Pumas UNAM),3.4391241824990573,2019-11-09
Pumas/CU,soccer_domestic,Liga MX (Pumas UNAM),9.903944523795667,2019-11-10
Pumas/CU,soccer_domestic,Liga MX (Pumas UNAM),3.741038989046309,2019-12-01
Pumas/CU,soccer_domestic,Liga MX (Pumas UNAM),8.16148320679139,2019-12-08
